2017-01-05,1
2017-01-06,1
2017-01-09,2
2017-01-10,3
2017-01-11,3
2017-01-12,2
2017-01-13,2
2017-01-14,2
2017-01-19,1
2017-01-16,1
2017-01-24,3
2017-02-07,1
2017-01-22,2
2017-01-23,1
2017-02-05,1
2017-02-11,1
2017-02-14,1
2017-02-15,1
2017-02-17,1
2017-02-22,2
2017-02-24,3
2017-02-26,1
2017-02-28,4
2017-03-02,6
2017-03-03,4
2017-03-06,3
2017-03-07,1
2017-03-08,3
2017-03-10,5
2017-03-11,1
2017-03-14,3
2017-03-15,1
2017-03-17,2
2017-03-20,3
2017-03-23,3
2017-03-24,1
2017-03-25,1
2017-03-27,4
2017-03-28,2
2017-03-29,2
2017-03-30,1
2017-03-31,1
2017-04-01,4
2017-04-05,3
2017-04-07,2
2017-04-13,1
2017-04-08,2
2017-04-10,1
2017-04-12,2
2017-04-14,1
2017-04-17,3
2017-04-18,2
2017-04-19,1
2017-04-21,4
2017-04-24,1
2017-04-25,1
2017-04-26,1
2017-04-27,4
2017-04-28,1
2017-05-02,2
2017-05-03,1
2017-05-05,3
2017-05-04,2
2017-05-08,1
2017-05-09,4
2017-05-16,6
2017-05-10,1
2017-05-11,1
2017-05-12,3
2017-05-15,5
2017-05-17,2
2017-05-19,5
2017-05-21,1
2017-05-22,5
2017-05-24,1
2017-05-25,4
2017-05-26,3
2017-05-27,10
2017-06-01,2
2017-06-02,1
2017-06-04,1
2017-06-05,1
2017-06-06,1
2017-06-07,1
2017-06-08,1
2017-06-09,2
2017-06-10,1
2017-06-12,2
2017-06-14,3
2017-09-11,5
2017-09-12,1
2017-09-15,5
2017-09-16,3
2017-09-17,4
2017-09-18,2
2017-09-19,3
2017-09-20,1
2017-05-30,1
2017-06-15,1
2017-06-16,6
2017-06-17,1
2017-06-20,3
2017-06-21,2
2017-06-22,5
2017-06-23,3
2017-06-26,2
2017-06-27,4
2017-06-29,2
2017-06-30,2
2017-07-01,3
2017-07-02,1
2017-07-03,1
2017-07-04,5
2017-07-05,2
2017-07-06,2
2017-07-07,2
2017-07-10,1
2017-07-11,1
2017-07-12,3
2017-07-13,1
2017-07-14,3
2017-07-16,2
2017-07-18,1
2017-07-19,3
2017-07-20,1
2017-07-21,2
2017-07-22,3
2017-07-23,2
2017-07-26,4
2017-07-27,1
2017-07-28,1
2017-07-29,1
2017-07-31,1
2017-08-01,2
2017-08-05,1
2017-08-07,2
2017-08-11,1
2017-08-17,4
2017-08-20,5
2017-08-21,1
2017-08-22,2
2017-08-24,1
2017-08-25,4
2017-08-26,4
2017-08-27,1
2017-08-28,1
2017-08-30,1
2017-08-31,2
2017-09-01,6
2017-09-02,1
2017-09-05,6
2017-09-07,6
2017-09-08,5
2017-09-10,1
2017-09-21,3
2017-09-22,1
2017-09-23,1
2017-09-24,1
2017-09-25,2
2017-09-26,3
2017-09-27,7
2017-09-28,2
2017-09-30,1
2017-10-02,1
2017-10-08,2
2017-10-09,1
2017-10-10,2
2017-10-11,1
2017-10-12,3
2017-10-13,2
2017-10-15,2
2017-10-16,4
2017-10-17,1
2017-10-18,6
2017-10-19,2
2017-10-20,1
2017-10-21,3
2017-10-22,1
2017-10-23,4
2017-10-24,2
2017-10-25,3
2017-10-26,3
2017-10-27,6
2017-10-30,3
1997-01-30,1
2017-10-31,2
2017-11-03,3
2017-11-02,1
2017-11-05,1
2017-11-06,1
2017-11-07,4
2017-11-09,2
2017-11-11,2
2017-11-14,3
2017-11-15,1
2017-11-16,2
2017-11-17,2
2017-11-20,1
2017-11-21,2
2017-11-22,2
2017-11-10,1
2017-11-23,3
2017-11-24,3
2017-11-26,1
2017-11-27,1
2017-11-28,6
2017-11-29,1
2017-11-30,3
2017-12-01,2
2017-12-04,2
2017-12-05,3
2017-12-06,1
2017-12-08,2
2017-12-09,2
2017-12-11,3
2017-12-12,3
2017-12-13,4
2017-12-14,3
2017-12-15,3
2017-12-18,2
2017-12-20,3
2017-12-19,5
2017-12-21,2
2017-12-22,2
2017-12-24,1
2017-12-25,2
2017-12-26,2
2017-12-29,3
2017-12-27,2
2017-12-28,3
2017-12-30,2
2017-12-31,1
2018-01-02,2
2018-01-03,1
2018-01-04,2
2018-01-05,1
2018-01-07,2
2018-01-09,5
2018-01-08,1
2018-01-10,1
2018-01-11,2
2018-01-12,3
2018-01-15,3
2018-01-16,1
2018-01-17,3
2018-01-18,1
2018-01-19,1
2018-01-22,2
2018-01-23,3
2018-01-24,1
2018-01-25,2
2018-01-26,2
2018-01-31,1
2018-02-01,1
2018-02-02,2
2018-02-08,1
2018-02-12,2
2018-02-13,1
2018-02-14,1
2018-02-16,1
2018-02-22,1
2018-03-01,4
2018-03-02,2
2018-03-03,3
2018-03-04,1
2018-03-05,2
2018-03-06,2
2018-03-07,2
2018-03-08,2
2018-03-09,4
2018-03-12,2
2018-03-14,2
2018-03-15,3
2018-03-16,3
2018-03-17,2
2018-03-20,3
2018-03-22,1
2018-03-25,1
2018-03-26,4
2018-03-28,5
2018-03-29,3
2018-03-30,1
2018-04-03,1
2018-04-04,2
2018-04-05,1
2018-04-06,1
2018-04-08,3
2018-04-09,2
2018-04-10,2
2018-04-13,2
2018-04-11,2
2018-04-12,1
2018-04-16,1
2018-04-17,1
2018-04-18,3
2018-04-19,3
2018-04-20,1
2018-04-21,3
2018-04-24,3
2018-04-25,3
2018-04-26,5
2018-04-27,1
2018-04-28,4
2018-04-29,3
2018-05-01,1
2018-05-02,3
2018-05-03,2
2018-05-04,1
2018-05-05,3
2018-05-07,2
2018-05-08,3
2018-05-09,4
2018-05-10,3
2018-05-11,2
2018-05-12,1
2018-05-14,2
2018-05-15,3
2018-05-16,3
2018-05-17,4
2018-05-19,1
2018-05-21,1
2018-05-22,4
2018-05-23,6
2018-05-24,4
2018-05-25,2
2018-05-26,2
2018-05-28,5
2018-05-29,2
2018-05-31,5
2018-05-30,2
